,text,token
0,"Given this Go text/template code:

","['Given', 'this', 'Go', 'text/template', 'code:']"
1,Let's say:,"['Let', 's', 'say', ':']"
2,"{{ if eq .Foo ""foo"" }}","['{{', 'if', 'eq', '.', 'Foo', '""foo""', '}}']"
3,"Hello, StackOverflow!","['Hello', ',', 'StackOverflow', '!']"
4,"{{ else if eq .Foo ""bar"" }}","['{{', 'else', 'if', 'eq', '.', 'Foo', '""bar""', '}}']"
5,"Hello, World!","['Hello', ',', 'World', '!']"
6,{{ end }},"['{{', 'end', '}}']"
7,"

We get the following output in case Foo equals ""foo"":

","['We', 'get', 'the', 'following', 'output', 'in', 'case', 'Foo', 'equals', '""foo"":']"
8,Let's say:,"['Let', 's', 'say', ':']"
9,"Hello, StackOverflow!","['Hello', ',', 'StackOverflow', '!']"
10,"

(followed by a newline)

Is there a way to get rid of the extra newlines?

I would expect that this can be accomplished using the {{- and -}} syntax:

","['(followed', 'by', 'a', 'newline)', 'Is', 'there', 'a', 'way', 'to', 'get', 'rid', 'of', 'the', 'extra', 'newlines?', 'I', 'would', 'expect', 'that', 'this', 'can', 'be', 'accomplished', 'using', 'the', '{{-', 'and', '-}}', 'syntax:']"
11,Let's say:,"['Let', 's', 'say', ':']"
12,"{{- if eq .Foo ""foo"" }}","['{{-', 'if', 'eq', '.', 'Foo', '""foo""', '}}']"
13,"Hello, StackOverflow!","['Hello', ',', 'StackOverflow', '!']"
14,"{{- else if eq .Foo ""bar"" }}","['{{-', 'else', 'if', 'eq', '.', 'Foo', '""bar""', '}}']"
15,"Hello, World!","['Hello', ',', 'World', '!']"
16,{{- end }},"['{{-', 'end', '}}']"
17,"

However, that yields an ","['However,', 'that', 'yields', 'an']"
18,"illegal number syntax: ""-""","['illegal', 'number', 'syntax', ':', '""-""']"
19," error.
",['error.']
