,text,token
0,"For example,

","['For', 'example,']"
1,package main,"['package', 'main']"
2,import (,"['import', '(']"
3,"    ""flag""","['""flag""']"
4,"    ""fmt""","['""fmt""']"
5,"    ""os""","['""os""']"
6,"    ""strconv""","['""strconv""']"
7,),[')']
8,func main() {,"['func', 'main', '()', '{']"
9,    flag.Parse(),['flag.Parse()']
10,    s := flag.Arg(0),"['s', ':=', 'flag.Arg(0)']"
11,    // string to int,"['//', 'string', 'to', 'int']"
12,"    i, err := strconv.Atoi(s)","['i', ',', 'err', ':=', 'strconv.Atoi(s)']"
13,    if err != nil {,"['if', 'err', '!=', 'nil', '{']"
14,        // handle error,"['//', 'handle', 'error']"
15,        fmt.Println(err),['fmt.Println(err)']
16,        os.Exit(2),['os.Exit(2)']
17,    },['}']
18,"    fmt.Println(s, i)","['fmt.Println(s, i)']"
19,},['}']
