,text,token
0,"So far, I use different workspaces either when I want to use a different version of Go or I want to separate my private work from the code the kids and I have fun with.  Also if I want to play with some open source code but want a simple way of cleaning it all up later.

Something like 

","['So', 'far', ',', 'I', 'use', 'different', 'workspaces', 'either', 'when', 'I', 'want', 'to', 'use', 'a', 'different', 'version', 'of', 'Go', 'or', 'I', 'want', 'to', 'separate', 'my', 'private', 'work', 'from', 'the', 'code', 'the', 'kids', 'and', 'I', 'have', 'fun', 'with', '.', 'Also', 'if', 'I', 'want', 'to', 'play', 'with', 'some', 'open', 'source', 'code', 'but', 'want', 'a', 'simple', 'way', 'of', 'cleaning', 'it', 'all', 'up', 'later', '.', 'Something', 'like']"
1,mk /tmp/tmpgo,"['mk', '/tmp/tmpgo']"
2,cd /tmp/tmpgo,"['cd', '/tmp/tmpgo']"
3,# Copy or edit a setenv file,"['Copy', 'or', 'edit', 'a', 'setenv', 'file']"
4,. setenv  # I use bash,"['.', 'setenv', 'I', 'use', 'bash']"
5,"

The setenv file looks something like this.

","['The', 'setenv', 'file', 'looks', 'something', 'like', 'this', '.']"
6,export GOROOT=$HOME/go16,"['export', 'GOROOT', '=$', 'HOME/go16']"
7,export GOPATH=$PWD,"['export', 'GOPATH', '=$', 'PWD']"
8,export GOBIN=$GOPATH/bin,"['export', 'GOBIN', '=$', 'GOPATH/bin']"
9,export PATH=$GOROOT/bin:$GOPATH/bin:$PATH,"['export', 'PATH', '=$', 'GOROOT/bin:$GOPATH/bin:$PATH']"
10,export PS1='\[\033[01;32m\]workspacenamehere\[\033[01;33m\] \W\[\033[00m\] ',"['export', 'PS1', '=', ""'\\[\\033[01;32m\\]workspacenamehere\\[\\033[01;33m\\] \\W\\[\\033[00m\\] '""]"
11,"

This gives me a go workspace with its own bin, src, pkg subdirectories.  I can go get anything I want.  Later I can delete the whole temporary directory if I like.  Getting things from repositories like github.com has a tendency to get many packages from other contributors, but because it puts them all into a clean src subdirectory, it's easy to use find and see what has been pulled down.  And later it is even easier to remove everything from the hd again.
","['This', 'gives', 'me', 'a', 'go', 'workspace', 'with', 'its', 'own', 'bin', ',', 'src', ',', 'pkg', 'subdirectories', '.', 'I', 'can', 'go', 'get', 'anything', 'I', 'want', '.', 'Later', 'I', 'can', 'delete', 'the', 'whole', 'temporary', 'directory', 'if', 'I', 'like', '.', 'Getting', 'things', 'from', 'repositories', 'like', 'github.com', 'has', 'a', 'tendency', 'to', 'get', 'many', 'packages', 'from', 'other', 'contributors', ',', 'but', 'because', 'it', 'puts', 'them', 'all', 'into', 'a', 'clean', 'src', 'subdirectory', ',', 'it', ""'s"", 'easy', 'to', 'use', 'find', 'and', 'see', 'what', 'has', 'been', 'pulled', 'down', '.', 'And', 'later', 'it', 'is', 'even', 'easier', 'to', 'remove', 'everything', 'from', 'the', 'hd', 'again', '.']"
